title,company,location,type,links,description,company_link,comp_logo_link
Researcher,Confidential,"New Cairo, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/nxu7try4Hb7f-Researcher-Cairo-Egypt?o=32&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Responsible for doing research on specific topics and do the analysis required.', 'Research Design & Proposal Development.']","Link not found, the company prefer to keep its name hidden!!","Logo not found, the company prefer to keep its name hidden!!"
Planning Coordinator,Confidential,"6th of October, Giza, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/2zHnyKxDRADn-Planning-Coordinator-Giza-Egypt?o=33&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Work through data collection for MRP purpose.', 'Track updates of consumption.', 'Issue & archive the PRs.', 'Prepare raw data for MRP run.']","Link not found, the company prefer to keep its name hidden!!","Logo not found, the company prefer to keep its name hidden!!"
Senior Treasury Analyst,TAQA Petroleum,"Garden City, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/hp32WHc5otxr-Senior-Treasury-Analyst-TAQA-Petroleum-Cairo-Egypt?o=34&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Responsible for all cash management & Trade Finance Operations (LGs – IDCs – Transfer Funds)', 'Monitoring & analyzing the cash conversion cycle for each business line (Fuels – Lubes)', 'Preparing cash position & forecasts on daily basis to ensure the financial stability for the business', 'Monitoring all financials ratios and loans convenient to avoid default risks', 'Negotiating with the banks treasury dealers for primary & secondary markets of treasury bills rates', 'Providing cash management solutions for the business to improve the cash conversion cycle', 'Responsible for maintaining relationship with FIs (Bank & Insurance Companies)', 'Prepare Financial Model & Forecast for each project']",https://wuzzuf.net/jobs/careers/TAQA-Oil---Marketing-Egypt-50002,https://images.wuzzuf-data.net/files/company_logo/TAQA-Oil---Marketing-Egypt-50002-1642932039.jpg
Account payable Accountant,Roots Management Consultants,"Sheraton, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/jblfLJtlpjic-Account-payable-Accountant-Roots-Management-Consultants-Cairo-Egypt?o=35&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Assemble, review and verify invoices and check requests', 'Flag and clarify any unusual or questionable invoice items or prices', 'Sort, code and match invoices', 'Set invoices up for payment', 'Enter and upload invoices into system', 'Track expenses and process expense reports', 'Prepare and process electronic transfers and payments', 'Prepare and perform check runs', 'Post transactions to journals, ledgers and other records', 'Reconcile accounts payable transactions', 'Prepare analysis of accounts', 'Monitor accounts to ensure payments are up to date', 'Research and resolve invoice discrepancies and issues', 'Maintain vendor files', 'Correspond with vendors and respond to inquiries', 'Produce monthly reports', 'Assist with month end closing', 'Provide supporting documentation for audits', 'Maintain accurate historical records', 'Maintain confidentiality of organizational information']",https://wuzzuf.net/jobs/careers/Roots-Management-Consultants-Egypt-33338,https://images.wuzzuf-data.net/files/company_logo/Roots-Management-Consultants-Egypt-33338-1526199068.png
Business Analyst,Cilantro,"Maadi, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/8YOY92FomUao-Business-Analyst-Cilantro-Cairo-Egypt?o=36&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Collect the financial (Sales, T.A, A.C& GOP) and non-financial (Quality, Mystery Shopper, Customer Complaints) results of the business units on monthly basis.', 'Build and present a monthly dashboard for the top management to support the decision-making process.', 'Make the Same Store results comparisons and the internal benchmarking analysis to support the decision-making process.', 'Identify, analyze, and interpret trends or patterns in complex data sets.', 'Present the Results Matrix monthly for the brand, per store, and per area.', 'Analyze data to support the top management with answers to the most important business issues and questions.', 'Sets campaigns & products projections', 'Delivers campaigns performance reports during & after each campaign', 'Identifies business performance gaps & recommends solutions', 'Monitors & manages the Marketing Budget', 'Manage the quality of sales activities and analyze the upselling activities']",https://wuzzuf.net/jobs/careers/Cilantro-Egypt-69955,https://images.wuzzuf-data.net/files/company_logo/Cilantro-Egypt-69955-1638611455.jpg
Senior Digital Data Analyst (Remote Job),Mindfield,"New Cairo, Cairo, Egypt","['Full Time', 'Work From Home']",https://wuzzuf.net/jobs/p/HKEQYe3RTJbt-Senior-Digital-Data-Analyst-Remote-Job-Mindfield-Cairo-Egypt?o=37&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Develop and maintain analytics tools to ensure tracking, reporting and analytics are functioning optimally', 'Develop approaches to analyze self-service customer behavior to include patching, customer profiling, browsing behavior, customer segmentation; Analyze and report on measured results to potentially improve channel usability, containment, success rates and overall Digital channel performance', 'Help to create and prepare requirements for ad hoc reports and trend analysis on digital channels that assists in the identification of irregularities or creates opportunities for improved sales.', 'Identify and troubleshoot data anomalies and irregularities as necessary', 'Provide guidance to digital channel owners and stakeholders in the use of assigned metrics applications including terminology standardization, training, user support, and the impact of user behavior on key conversion and revenue factors. Proposes expanded or improved uses of application capabilities.', 'Prepare and presents value added analytical reports to department and/or senior management', 'Develop and build business reporting environments inclusive of data, technical routines, and data visualization.', 'Definition and development of metrics to measure performance', 'Help and Assist client servicing personnel, and digital teams to achieve better results through insights.', 'Help on new pitches by collecting and analyzing data insights to propose strategic directions.', 'Build all digital reports on client digital channels, and come up with learnings and recommendations', 'Ensure teams apply recommendations and raise flags when it is not the case', 'Participate in Brainstorming sessions with team members']",https://wuzzuf.net/jobs/careers/Mindfield-Saudi-Arabia-80564,"Logo not found, The company doesn't provide an image"
HR Reporting Analyst,Partner & More,"Abu Rawash, Giza, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/LjehaQu2c9ZJ-HR-Reporting-Analyst-Partner-More-Giza-Egypt?o=38&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['On behalf of a Leading Trading & Distribution Co.,Partner & More is recruiting:#HR_Reporting #AnalystLocation: Head Quarter –\xa0#Abu_RawashJob Responsibility', 'Design HR department analysis and data recording systems for use throughout the HR Functions', 'Maintain databases and perform updates as necessary to ensure accuracy', 'Regularly examine data reports to locate and resolve mistakes throughout', 'Accurately analyze and collect data for various types of business reports', 'Create business reports that provide insight into key data points', 'Communicate the results of data analysis in written and verbal form to managers', 'Monitor data to identify changes in financial and business trends']",https://wuzzuf.net/jobs/careers/Partner---more-Egypt-22617,https://images.wuzzuf-data.net/files/company_logo/Partner---More-Egypt-22617-1621197803.jpg
Marketing Executive,Vision 22 Advertising Agency,"Maadi, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/IFN4RxwvyfpD-Marketing-Executive-Vision-22-Advertising-Agency-Cairo-Egypt?o=39&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Conceive and develop efficient and intuitive marketing strategies', 'Organize and oversee advertising/communication campaigns', 'Conduct market research and analysis to evaluate trends, brand awareness, and competition ventures', 'Initiate and control surveys to assess customer requirements and dedication', 'Write copy for diverse marketing distributions', 'Monitor progress of offline campaigns using various metrics and submit reports of performance']",https://wuzzuf.net/jobs/careers/Vision-22-Advertising-Agency-Egypt-22073,https://images.wuzzuf-data.net/files/company_logo/Vision-22-Advertising-Agency-Egypt-22073-1579427585.jpg
Data Scientist,Confidential,"Riyadh, Saudi Arabia",['Full Time'],https://wuzzuf.net/jobs/p/OjuPwsoJjnOC-Data-Scientist-Riyadh-Saudi-Arabia?o=40&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Selecting features, building, and optimizing models using machine learningtechniques', 'Data mining using state-of-the-art methods', 'Enhancing data collection procedures to include information that is relevant forbuilding analytic systems', 'Processing, cleansing, and verifying the integrity of data used for analysis', 'Doing ad-hoc analysis and presenting results in a clear manner', 'Creating automated anomaly detection systems and constant tracking of itsperformance', 'Provide clear insights that help define strategy, and facilitate speed and accuracy ofdecision-making, and ultimately make a positive impact on the business.', 'Work in the opportunity, investigate, and explore phases of product development toidentify the biggest and most valuable consumer needs and motivations', 'Have a strong toolkit for quantitative and qualitative methods to apply in problem-solving', 'Translate business questions into learning plans and then lead, develop, design andconduct primary research studies to enable the synthesis of data to develop insights.', 'Ensure effective communication of market data, including synthesizing them intoinsights for action', 'Manage third-party vendors to ensure learning objectives are met, and quality researchstandards are maintained', 'Find opportunities to develop and champion the use of new research methods toaddress unique research challenges and evolving trends', 'Remain abreast of best practices within the discipline and research methodsemployed, including the latest evolution of approaches as the industry develops', 'Coordinate multiple tasks simultaneously, meeting deadlines and workingproductively and efficiently under pressure']","Link not found, the company prefer to keep its name hidden!!","Logo not found, the company prefer to keep its name hidden!!"
Senior Data Analyst - Business Intelligence,Confidential,"Maadi, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/FdG6WamryKOU-Senior-Data-Analyst---Business-Intelligence-Cairo-Egypt?o=41&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Track, collect, and interpret data, then analyze results using statistical techniques', ""Conduct training to new users of the company's new CRM users"", 'Identify, analyze and interpret trends or patterns in complex data set', 'Provide insights and make recommendations based on data analysis', 'Prepare and deliver an insights-based Weekly, Monthly, Quarterly & Annually Social Media Business', 'Review & Report with data from Social Media Analytics dashboards, Microsoft Power BI , Google Analytics and similar platforms to present actionable insights in a visually appealing format.', ""Aggregate data collected from Clients' social accounts with the goal of identifying trends and insights"", 'Acquire data from Zoho CRM ,Office 365 SharePoint, Social Media Platforms,', 'Apply Data Cleaning Techniques for historical data.', 'Interpret data & analyze results to provide ongoing reports and dashboards on Oracle CRM and Microsoft Power BI.', 'Translate their findings of trends, wrong data entries… into easy-to-understand reports, dashboards & presentations for management to get a clear picture of the department’s operations and ways to improve them.', 'Build company balance scorecard model using Microsoft Power BI.', 'Analyze the historical data to forecast and create staffing scenarios for inbound and outbound business functions.']","Link not found, the company prefer to keep its name hidden!!","Logo not found, the company prefer to keep its name hidden!!"
Advanced Junior Financial Data Analyst,Z2 Data,"Nasr City, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/uDOq5pUnCS0S-Advanced-Junior-Financial-Data-Analyst-Z2-Data-Cairo-Egypt?o=42&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Analyzing the extracted information from the financial statements.', 'Handling R&D and enhancing the operational techniques used to improve the data procedures in best possible way and facilitate the operational daily work of the teams.', 'Assigning Targets and setting plans for the teams according to the business needs.', 'Prepare and deliver the necessary training needed for new comers.', 'Supporting the new comers and teams on daily basis to ensure the process is implemented.', 'Testing the data inserted in the system and reporting any issue occurred in the process.', 'Assisting the Financial Analysis Manager in daily technical tasks.', 'Reporting to the Finance Manager the operation progress on a weekly basis']",https://wuzzuf.net/jobs/careers/Z2-Data-Egypt-10002,https://images.wuzzuf-data.net/files/company_logo/Z2-Data-Egypt-10002-1516293068.png
Social Media Moderator / Admin,Perception for Design & Contracting,"Sheikh Zayed, Giza, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/wlkOWMTJViC7-Social-Media-Moderator-Admin-Perception-for-Design-Contracting-Giza-Egypt?o=43&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Help create and promote the overall brand identity of company.', 'Be a vital force in the creation and distribution of all varieties of marketing materials.', 'Implement marketing plan across multiple social media platforms.', 'Help to inc. engagement on all platforms.', 'Collect and analyse market research data and apply it to current projects.', 'Provide updated status reports with statistics concerning current marketing projects.', 'Manage and oversee social media content.', 'Publish and share daily content (original text, images or videos) that builds meaningful connections and encourages community members to take action on various social media channels.', 'Stay up to date with the latest social media best practices and technologies.', 'Provide constructive feedback.', 'Communicate & follow up with clients on all social media platforms, mail & phone.', 'Collecting and evaluating customer feedback data.', 'Prepare weekly reports & proposals.', 'Office admin tasks']",https://wuzzuf.net/jobs/careers/Perception-for-Design---Contracting-Egypt-17825,https://images.wuzzuf-data.net/files/company_logo/Perception-for-Design---Contracting-Egypt-17825-1568046408.jpg
Senior R&D Analyst- Banha,Z2 Data,"Banha, Qalubia, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/QULmM8c1vDma-Senior-RD-Analyst--Banha-Z2-Data-Qalubia-Egypt?o=44&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Research and development of new technologies/topics in coordination with other technical departments', 'Writing technical/scientific documentation of analysis output', 'Search for new proposals for R&D projects', 'Plan and execute requirements gathering activities.', 'Interact with the customers to gather their business and user requirements.', 'Interpret business and user requirements into clear and comprehensive documentation.', 'Align with technical and data development teams to map users’ requirements into practical system requirements specifications.', 'Support research requests and define the best approach to successfully complete them.', 'Use your creativity and expertise to support Z2Data’s internal development project.', 'Suggesting alternatives when the required information is not available.', 'Reporting on the status of the request: closed, on-hold; discussing relevancy of methodologies/approaches used to conduct business requirements']",https://wuzzuf.net/jobs/careers/Z2-Data-Egypt-10002,https://images.wuzzuf-data.net/files/company_logo/Z2-Data-Egypt-10002-1516293068.png
CFO,Confidential,"New Cairo, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/IwCOXuPvzXoJ-CFO-Cairo-Egypt?o=45&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Drive the company’s financial planning', 'Perform risk management by analyzing the organization’s liabilities and investments', 'Decide on investment strategies by considering cash and liquidity risks', 'Control and evaluate the organization’s fundraising plans and capital structure', 'Ensure cash flow is appropriate for the organization’s operations', 'Supervise all finance personnel (controllers, treasurers etc.)', 'Manage vendor relationships', 'Prepare reliable current and forecasting reports', 'Set up and oversee the company’s finance IT system', 'Ensure compliance with the law and company’s policies', 'Manage team of Financial Controller and financial analysts.']","Link not found, the company prefer to keep its name hidden!!","Logo not found, the company prefer to keep its name hidden!!"
Senior/Mid Senior Deep Learning Engineer,Confidential,"Mokattam, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/5NFxSMKMH5K0-SeniorMid-Senior-Deep-Learning-Engineer-Cairo-Egypt?o=1&l=sp&t=sj&a=machine learning jobs|search-v3|navbl,"['Reviewing, replicating, and mapping research papers when needed', 'Staying up to date with state-of-the-art deep learning tools and papers on application adopted by the company', 'Applying and ensuring best practices in terms of deep learning code reproducibility, automation, deployment, and maintainability', 'Applying and ensuring best practices in terms of data collection, storage, and pre-processing', 'Continuously reviewing and optimizing existing models and pipelines']","Link not found, the company prefer to keep its name hidden!!","Logo not found, the company prefer to keep its name hidden!!"
ML Engineer - Recommendation System,TensorGraph,"Maadi, Cairo, Egypt","['Part Time', 'Freelance / Project']",https://wuzzuf.net/jobs/p/bevYQMKRLEmI-ML-Engineer---Recommendation-System-TensorGraph-Cairo-Egypt?o=2&l=sp&t=sj&a=machine learning jobs|search-v3|navbl,"['Build and Improve the existing recommendation system', 'Design and implement the new approaches in recommendation systems', 'Set the System evaluation KPIs and Golden data', 'Analysis the historical data to choose the right approach']",https://wuzzuf.net/jobs/careers/TensorGraph-Egypt-32724,https://images.wuzzuf-data.net/files/company_logo/TensorGraph-Egypt-32724-1636296196.png
Internship - Graduates,Trufla,"Heliopolis, Cairo, Egypt",['Internship'],https://wuzzuf.net/internship/zF1Yie2Xk7e0-Internship---Graduates-Trufla-Cairo-Egypt?o=3&l=sp&t=sj&a=machine learning jobs|search-v3|navbl,"['Think insurance is boring? Think again.', 'Trufla Technology is a multinational Canadian company and the first of its kind – we offer a complete suite of digital solutions for the modern insurance brokerage. From SEO and web design, to lead management, branded customer service and API’s, Trufla provides a 360° digital strategy for brokerages and reimagines the way their customers interact with insurance.', 'Do you think we match? Apply Now!', 'For Backend PHP Laravel / Native', 'https://assessment.testgorilla.com/testtaker/publicinvitation/128a6f1e-e094-43a9-9861-998073386e77', 'For Frontend React JS', 'https://assessment.testgorilla.com/testtaker/publicinvitation/05d7219c-285b-4595-8d1e-2ae6e938ac79', 'For Backend Node JS', 'https://assessment.testgorilla.com/testtaker/publicinvitation/d8471fc7-5df1-456a-85cc-27e1f1445c89', 'For Quality Control Engineer', 'https://assessment.testgorilla.com/testtaker/publicinvitation/36bb19b2-d37a-46ab-9916-e364033f45eb', 'For Machine Learning', 'https://assessment.testgorilla.com/testtaker/publicinvitation/185c7910-887b-49bb-96d2-d494b8fcc45c', 'For Mobile Development', 'https://assessment.testgorilla.com/testtaker/publicinvitation/38ff45c4-aabd-43af-97d5-62cf736e4bbd', 'For Implementation and Software Support', 'https://assessment.testgorilla.com/testtaker/publicinvitation/38ff45c4-aabd-43af-97d5-62cf736e4bbd', 'For Search Engine Optimization', 'https://assessment.testgorilla.com/testtaker/publicinvitation/e043cada-a64c-416c-9d8e-59e16925ca14', 'Application Deadline: 28/09/2022', 'Internship Start date: 01/11/ 2022', 'Duration: 3 Months']",https://wuzzuf.net/jobs/careers/Trufla-Egypt-17331,https://images.wuzzuf-data.net/files/company_logo/Trufla-Egypt-17331-1623761357.png
Data Scientist,Confidential,"Riyadh, Saudi Arabia",['Full Time'],https://wuzzuf.net/jobs/p/OjuPwsoJjnOC-Data-Scientist-Riyadh-Saudi-Arabia?o=4&l=sp&t=sj&a=machine learning jobs|search-v3|navbl,"['Selecting features, building, and optimizing models using machine learningtechniques', 'Data mining using state-of-the-art methods', 'Enhancing data collection procedures to include information that is relevant forbuilding analytic systems', 'Processing, cleansing, and verifying the integrity of data used for analysis', 'Doing ad-hoc analysis and presenting results in a clear manner', 'Creating automated anomaly detection systems and constant tracking of itsperformance', 'Provide clear insights that help define strategy, and facilitate speed and accuracy ofdecision-making, and ultimately make a positive impact on the business.', 'Work in the opportunity, investigate, and explore phases of product development toidentify the biggest and most valuable consumer needs and motivations', 'Have a strong toolkit for quantitative and qualitative methods to apply in problem-solving', 'Translate business questions into learning plans and then lead, develop, design andconduct primary research studies to enable the synthesis of data to develop insights.', 'Ensure effective communication of market data, including synthesizing them intoinsights for action', 'Manage third-party vendors to ensure learning objectives are met, and quality researchstandards are maintained', 'Find opportunities to develop and champion the use of new research methods toaddress unique research challenges and evolving trends', 'Remain abreast of best practices within the discipline and research methodsemployed, including the latest evolution of approaches as the industry develops', 'Coordinate multiple tasks simultaneously, meeting deadlines and workingproductively and efficiently under pressure']","Link not found, the company prefer to keep its name hidden!!","Logo not found, the company prefer to keep its name hidden!!"
Senior Data Scientist,BBI-Consultancy,"Nasr City, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/jX5wf4UC6hGY-Senior-Data-Scientist-BBI-Consultancy-Cairo-Egypt?o=5&l=sp&t=sj&a=machine learning jobs|search-v3|navbl,"['Identify valuable data sources and automate collection processes', 'Undertake preprocessing of structured and unstructured data', 'Analyze large amounts of information to discover trends and patterns', 'Build predictive models and machine-learning algorithms', 'Combine models through ensemble modeling', 'Present information using data visualization techniques', 'Propose solutions and strategies to business challenges', 'Collaborate with engineering and product development teams']",https://wuzzuf.net/jobs/careers/BBI-Consultancy-Egypt-1113,https://images.wuzzuf-data.net/files/company_logo/BBI-Consultancy-Egypt-1113-1518334605.png
Data Science Instructor,EpsilonAI,"Nasr City, Cairo, Egypt","['Full Time', 'Part Time']",https://wuzzuf.net/jobs/p/6EdqURmRczoK-Data-Science-Instructor-EpsilonAI-Cairo-Egypt?o=6&l=sp&t=sj&a=machine learning jobs|search-v3|navbl,"['Epsilon AI Institute is hiring Data Science instructors who Manage and delivers the course materials to trainees in an engaging thought-provoking manner', 'The successful candidate will be able to contribute to the delivery of topics relating to Artificial Intelligence, Machine Learning, Data Science and Programming', 'Engage in the classroom and reply to emails, Trainees’ questions, etc. within 24 hours on non-holiday weekdays.', ""Evaluate and grade Trainees' class work, assignments, and papers within the timeframe set forth by Epsilon AI policy providing effective feedback to guide Trainees' learning and success."", ""Maintain the cadence of the course: Keep Trainees on track, monitor each individual's progress, and design and implement learning or service interventions when Trainees fall behind""]",https://wuzzuf.net/jobs/careers/EpsilonAI-Egypt-65111,https://images.wuzzuf-data.net/files/company_logo/EpsilonAI-Egypt-65111-1626178228.png
Data Scientist,Seoudi Supermarket,"Sheikh Zayed, Giza, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/yvKLvGcoRMNa-Data-Scientist-Seoudi-Supermarket-Giza-Egypt?o=7&l=sp&t=sj&a=machine learning jobs|search-v3|navbl,"['Analyze raw data: assessing quality, cleansing, structuring for downstream processing.', 'Design accurate and scalable prediction algorithms.', 'Collaborate with engineering team to bring analytical prototypes to production.', 'Generate actionable insights for business improvements.', 'Full-time job (On-site).', 'Location: Sheikh Zayed, Giza.', '2 days off \xa0(Friday and Saturday)']",https://wuzzuf.net/jobs/careers/United-Grocers-Egypt-16038,https://images.wuzzuf-data.net/files/company_logo/United-Grocers-Egypt-16038-1604501330.png
Senior Data Engineer,Worex,"Maadi, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/eDPM1YPgMI8J-Senior-Data-Engineer-Worex-Cairo-Egypt?o=8&l=sp&t=sj&a=machine learning jobs|search-v3|navbl,"['New data integrations, DataOps, troubleshooting & automation & Teradata migration and transformations', 'Create and maintain, with the team, an optimal data pipeline architecture.', 'Build, deploy, and maintain distributed data analytics systems using Hadoop/Spark, Python, Java , Go , Scala, and C/C++', 'Assemble large, complex data sets that meet functional / non-functional requirements.', 'Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.', 'Build the infrastructure required for optimal loading of data from a wide variety of data sources using SQL and big data technologies.', 'Work with stakeholders including the Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.', 'Identify gaps and improve the platform’s quality, robustness, and speed', 'Meet customer requirements in terms of availability, reliability, functionality, and performance']",https://wuzzuf.net/jobs/careers/Worex-Egypt-58786,https://images.wuzzuf-data.net/files/company_logo/Worex-Egypt-58786-1606135536.png
Mechanical Production Engineer,ATA Electronics,"6th of October, Giza, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/Ocp9ctsm8O5m-Mechanical-Production-Engineer-ATA-Electronics-Giza-Egypt?o=9&l=sp&t=sj&a=machine learning jobs|search-v3|navbl,"['Responsible for achieving production plan for each production line in accordance to predetermined standards and product special controls', 'Work effectively with team members of all disciplines, working on increasing production capacity and decreasing waste and Proficiency in MS Office.', 'Cooperate and communicate effectively with production team', 'Follow up maintenance process to raise efficiency.', 'Reviewing the materials needed for the production process.', 'Reporting emergency equipment malfunctions.', 'Participate in the development of manufacturing processes by studying production requirements.', 'Fulfill any additional tasks as per job need.', 'Review product design for compliance with engineering principles, company standards and customer contract requirements, and related specifications.', 'Understand mold making, prototyping and product testing.']",https://wuzzuf.net/jobs/careers/ATA-Electronics-Egypt-52018,https://images.wuzzuf-data.net/files/company_logo/ATA-Electronics-Egypt-52018-1582633288.jpg
Mechanical Engineer ( Production ),Eagle Chemicals,"6th of October, Giza, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/tI3n0rbWBYEM-Mechanical-Engineer-Production-Eagle-Chemicals-Giza-Egypt?o=10&l=sp&t=sj&a=machine learning jobs|search-v3|navbl,"['Perform overall quality control of the work (budget, schedule, plans, personnel’s performance) and report regularly on project status.', 'Develop installation bid packages, get quotes and order.', 'Cooperate and communicate effectively with production team.', 'Follow up maintenance process to raise efficiency', 'Upgrade existing equipment to improve efficiency']",https://wuzzuf.net/jobs/careers/Eagle-12429,https://images.wuzzuf-data.net/files/company_logo/Eagle-Chemical-Egypt-12429-1497346001.jpg
Software Architect,Bypa-ss,"Maadi, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/sbH6OIDe83Fe-Software-Architect-Bypa-ss-Cairo-Egypt?o=11&l=sp&t=sj&a=machine learning jobs|search-v3|navbl,"['We are looking for an experienced Software Architect to make intuitive high level decisions for software development.', 'You will see the “big picture” and create architectural approaches for software design and implementation to guide the development team.']",https://wuzzuf.net/jobs/careers/Bypa-ss-Egypt-23618,https://images.wuzzuf-data.net/files/company_logo/Bypa-ss-Egypt-23618-1605383397.png
Java Technical Lead,Bypa-ss,"Maadi, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/lct0CYHZlnLd-Java-Technical-Lead-Bypa-ss-Cairo-Egypt?o=12&l=sp&t=sj&a=machine learning jobs|search-v3|navbl,"['We are searching for an innovative technical lead to join our company. As the technical lead, you will oversee the company’s technical team and all projects they undertake, analyze briefs, write progress reports, identify risks, and develop work schedules.', 'You should be able to work with your team and inspire them to reach their goals.']",https://wuzzuf.net/jobs/careers/Bypa-ss-Egypt-23618,https://images.wuzzuf-data.net/files/company_logo/Bypa-ss-Egypt-23618-1605383397.png
Research Software Development Engineer,TensorGraph,"Maadi, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/u3KP1NfDlo6Z-Research-Software-Development-Engineer-TensorGraph-Cairo-Egypt?o=13&l=sp&t=sj&a=machine learning jobs|search-v3|navbl,"['Designing, coding and releasing complex software components', 'Collaborate with scientists to integrate successful experiments into large scale, highly complex production services.', 'Build complex systems that turn machine/deep learning and AI research into commercial products for our customers.', 'Development of machine learning experimentation pipelines and contribute to model development and AI progression (investigation, research, analysis and experimentation).', 'Rapidly design and conduct large scale experiments in a high-ambiguity environment, making use of both quantitative and qualitative judgments.', 'Interact with security engineers and related domain experts to dive deep into the types of challenges that we need innovative solutions for', 'Data ingestion from multiple sources, data organization, preprocessing, cleansing', 'Effective data storage, migration and unification', 'Deployment of services on the cloud and subsequent support and maintenance']",https://wuzzuf.net/jobs/careers/TensorGraph-Egypt-32724,https://images.wuzzuf-data.net/files/company_logo/TensorGraph-Egypt-32724-1636296196.png
Mechanical Engineer,RITEC,"Maadi, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/2xj68EOmEXvg-Mechanical-Engineer-RITEC-Cairo-Egypt?o=14&l=sp&t=sj&a=machine learning jobs|search-v3|navbl,"['This is an entry level mechanical engineer job for people desiring to work in the condition monitoring field.', 'RITEC shall provide training and international certification to Category II for committed people.', 'Successful candidates have an opportunity to travel overseas to support our expanding contracts.', 'Long term commitment is required.', 'Performing condition monitoring of machines', 'Using vibration analysis to analyze machines', 'Using alternate technologies like thermography, ultrasound and lubrication oil analysis', 'Writing reports and documentation', 'Providing technical advice', 'Analyzing and interpreting data', 'Evaluating condition of machines', 'Recommending maintenance actions', 'Liaising with maintenance personnel']",https://wuzzuf.net/jobs/careers/RITEC-Egypt-17595,https://images.wuzzuf-data.net/files/company_logo/RITEC-Egypt-17595-1463489870.png
Senior Data Scientist,Fixed Solutions,"Sheraton, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/PVAeMhWwvA6Q-Senior-Data-Scientist-Fixed-Solutions-Cairo-Egypt?o=15&l=sp&t=sj&a=machine learning jobs|search-v3|navbl,"['Design and Develop analytical insights based on unstructured and structured data for industry-scaleanalytical solutions on Cloud and on Prem.', 'Convert requirements into actual working modules.', 'Work with Data Scientists and Distinguished Engineers and Architects to solve problems by using analytics as a tool.']",https://wuzzuf.net/jobs/careers/Fixed-Solutions-Egypt-18523,https://images.wuzzuf-data.net/files/company_logo/Fixed-Solutions-Egypt-18523-1517185135.png
Pre Sales Engineer,RDI,"Dokki, Giza, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/Z7syrM0pS3E4-Pre-Sales-Engineer-RDI-Giza-Egypt?o=16&l=sp&t=sj&a=machine learning jobs|search-v3|navbl,"['Engaging with customers, capturing requirements, proposing technical solutions and technologies/products.', 'Designs AI-based solutions using RDI engines for Speech, OCR, NLP.', 'Involve in customer meetings to describe/discuss the proposed solution and highlight advantages over competitors.', 'Prepares technical write-up and high-level design that describes the proposed solution.', 'Conduct research and gain knowledge of all key products and technologies (including competitive market analysis).', 'Drive new sales opportunities by proactively engaging with the technical community within target accounts.', 'Deliver consistent product training, technology updates and key selling points.', 'Conducting professional demos and presentations for end users.', 'Create RFP responses, technical drawings, presentations, and recommendations.', 'Awareness / Understanding of Products’ competitors’ portfolios.', 'Investigating new technologies and third-party components and staying on top of technology to innovate new products and services.', 'Being in sync with market situation and studying market potential.']",https://wuzzuf.net/jobs/careers/RDI-Egypt-5083,https://images.wuzzuf-data.net/files/company_logo/RDI-Egypt-5083-1579615010.png
